
============================================================
  HEAT Training — Dataset: GDELT
  Device: cpu
============================================================

  [data] GDELT: 7,691 entities, 240 relations
  [data] Loading quadruples...
  [data] Train: 1,734,399  Valid: 238,765  Test: 305,241
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 7,691  |  Relations: 240  |  Train: 1,734,399

  Batch 10/1694 | Loss 16.5600 | 193s elapsed
  Batch 20/1694 | Loss 14.9469 | 387s elapsed
  Batch 30/1694 | Loss 14.1953 | 1030s elapsed
  Batch 40/1694 | Loss 13.7770 | 10163s elapsed
  Batch 50/1694 | Loss 13.5094 | 10358s elapsed
  Batch 60/1694 | Loss 13.3271 | 10556s elapsed
  Batch 70/1694 | Loss 13.1884 | 10757s elapsed
  Batch 80/1694 | Loss 13.0819 | 10961s elapsed
  Batch 90/1694 | Loss 13.0001 | 11156s elapsed
  Batch 100/1694 | Loss 12.9280 | 11366s elapsed
  Batch 110/1694 | Loss 12.8697 | 11597s elapsed
  Batch 120/1694 | Loss 12.8196 | 11827s elapsed
  Batch 130/1694 | Loss 12.7742 | 12050s elapsed
  Batch 140/1694 | Loss 12.7343 | 12278s elapsed
  Batch 150/1694 | Loss 12.6957 | 12520s elapsed
  Batch 160/1694 | Loss 12.6627 | 12792s elapsed
  Batch 170/1694 | Loss 12.6303 | 13027s elapsed
  Batch 180/1694 | Loss 12.6010 | 13262s elapsed
  Batch 190/1694 | Loss 12.5701 | 13475s elapsed
  Batch 200/1694 | Loss 12.5406 | 13691s elapsed
  Batch 210/1694 | Loss 12.5137 | 13904s elapsed
  Batch 220/1694 | Loss 12.4862 | 14111s elapsed
  Batch 230/1694 | Loss 12.4578 | 14321s elapsed
  Batch 240/1694 | Loss 12.4306 | 14521s elapsed
  Batch 250/1694 | Loss 12.4039 | 14738s elapsed
  Batch 260/1694 | Loss 12.3774 | 14938s elapsed
  Batch 270/1694 | Loss 12.3523 | 15145s elapsed
  Batch 280/1694 | Loss 12.3310 | 15362s elapsed
  Batch 290/1694 | Loss 12.3080 | 15571s elapsed
  Batch 300/1694 | Loss 12.2855 | 15782s elapsed
  Batch 310/1694 | Loss 12.2648 | 15993s elapsed
  Batch 320/1694 | Loss 12.2445 | 16207s elapsed
  Batch 330/1694 | Loss 12.2253 | 16426s elapsed
  Batch 340/1694 | Loss 12.2086 | 16656s elapsed
  Batch 350/1694 | Loss 12.1911 | 16879s elapsed
  Batch 360/1694 | Loss 12.1747 | 17090s elapsed
  Batch 370/1694 | Loss 12.1580 | 17295s elapsed
  Batch 380/1694 | Loss 12.1410 | 17501s elapsed
  Batch 390/1694 | Loss 12.1251 | 17716s elapsed
  Batch 400/1694 | Loss 12.1097 | 17927s elapsed
  Batch 410/1694 | Loss 12.0962 | 18137s elapsed
  Batch 420/1694 | Loss 12.0805 | 18353s elapsed
  Batch 430/1694 | Loss 12.0666 | 18549s elapsed
  Batch 440/1694 | Loss 12.0521 | 18763s elapsed
  Batch 450/1694 | Loss 12.0389 | 18971s elapsed
  Batch 460/1694 | Loss 12.0252 | 19289s elapsed
  Batch 470/1694 | Loss 12.0118 | 19523s elapsed
  Batch 480/1694 | Loss 12.0000 | 19751s elapsed
  Batch 490/1694 | Loss 11.9879 | 19991s elapsed
  Batch 500/1694 | Loss 11.9759 | 20222s elapsed
  Batch 510/1694 | Loss 11.9647 | 20458s elapsed
  Batch 520/1694 | Loss 11.9541 | 20682s elapsed
  Batch 530/1694 | Loss 11.9434 | 20917s elapsed
  Batch 540/1694 | Loss 11.9328 | 21146s elapsed
  Batch 550/1694 | Loss 11.9227 | 21928s elapsed
  Batch 560/1694 | Loss 11.9122 | 22147s elapsed
  Batch 570/1694 | Loss 11.9017 | 22368s elapsed
  Batch 580/1694 | Loss 11.8913 | 22601s elapsed
  Batch 590/1694 | Loss 11.8816 | 22827s elapsed
  Batch 600/1694 | Loss 11.8712 | 23054s elapsed
  Batch 610/1694 | Loss 11.8625 | 23283s elapsed
  Batch 620/1694 | Loss 11.8530 | 23523s elapsed
  Batch 630/1694 | Loss 11.8441 | 23745s elapsed
  Batch 640/1694 | Loss 11.8359 | 23966s elapsed
  Batch 650/1694 | Loss 11.8275 | 24188s elapsed
