
============================================================
  HEAT Training — Dataset: ICEWS14
  Device: cpu
============================================================

  [data] ICEWS14: 12,498 entities, 260 relations
  [data] Loading quadruples...
  [data] Train: 323,895  Valid: 341,409  Test: 341,409
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,498  |  Relations: 260  |  Train: 323,895

  Batch 10/317 | Loss 17.6251 | 218s elapsed
  Batch 20/317 | Loss 15.7730 | 438s elapsed
  Batch 30/317 | Loss 14.8507 | 661s elapsed
  Batch 40/317 | Loss 14.2894 | 884s elapsed
  Batch 50/317 | Loss 13.9104 | 1111s elapsed
  Batch 60/317 | Loss 13.6316 | 1333s elapsed
  Batch 70/317 | Loss 13.4144 | 1556s elapsed
  Batch 80/317 | Loss 13.2343 | 1776s elapsed
  Batch 90/317 | Loss 13.0767 | 1994s elapsed
  Batch 100/317 | Loss 12.9455 | 2209s elapsed
  Batch 110/317 | Loss 12.8201 | 2430s elapsed
  Batch 120/317 | Loss 12.7049 | 2651s elapsed
  Batch 130/317 | Loss 12.6126 | 2875s elapsed
  Batch 140/317 | Loss 12.5307 | 3095s elapsed
  Batch 150/317 | Loss 12.4539 | 3318s elapsed
  Batch 160/317 | Loss 12.3871 | 3536s elapsed
  Batch 170/317 | Loss 12.3249 | 3753s elapsed
  Batch 180/317 | Loss 12.2673 | 3973s elapsed
  Batch 190/317 | Loss 12.2130 | 4194s elapsed
  Batch 200/317 | Loss 12.1629 | 4408s elapsed
  Batch 210/317 | Loss 12.1158 | 4626s elapsed
  Batch 220/317 | Loss 12.0724 | 4849s elapsed
  Batch 230/317 | Loss 12.0290 | 5070s elapsed
  Batch 240/317 | Loss 11.9884 | 5293s elapsed
  Batch 250/317 | Loss 11.9520 | 5514s elapsed
  Batch 260/317 | Loss 11.9168 | 5742s elapsed
  Batch 270/317 | Loss 11.8797 | 5967s elapsed
  Batch 280/317 | Loss 11.8485 | 6191s elapsed
  Batch 290/317 | Loss 11.8141 | 6417s elapsed
