
============================================================
  HEAT Training — Dataset: WIKI
  Device: cpu
============================================================

  [data] WIKI: 12,554 entities, 24 relations
  [data] Loading quadruples...
  [data] Train: 539,286  Valid: 67,538  Test: 63,110
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 12,554  |  Relations: 24  |  Train: 539,286

  Batch 10/527 | Loss 17.4807 | 221s elapsed
  Batch 20/527 | Loss 15.7952 | 438s elapsed
  Batch 30/527 | Loss 14.6708 | 648s elapsed
  Batch 40/527 | Loss 13.8513 | 866s elapsed
  Batch 50/527 | Loss 13.2022 | 1088s elapsed
  Batch 60/527 | Loss 12.6622 | 1310s elapsed
  Batch 70/527 | Loss 12.2031 | 1531s elapsed
  Batch 80/527 | Loss 11.7983 | 1754s elapsed
  Batch 90/527 | Loss 11.4325 | 1977s elapsed
  Batch 100/527 | Loss 11.1059 | 2199s elapsed
  Batch 110/527 | Loss 10.8019 | 2421s elapsed
  Batch 120/527 | Loss 10.5171 | 2641s elapsed
  Batch 130/527 | Loss 10.2461 | 2860s elapsed
  Batch 140/527 | Loss 9.9863 | 3080s elapsed
  Batch 150/527 | Loss 9.7408 | 3301s elapsed
  Batch 160/527 | Loss 9.5025 | 3523s elapsed
  Batch 170/527 | Loss 9.2802 | 3745s elapsed
  Batch 180/527 | Loss 9.0692 | 3968s elapsed
  Batch 190/527 | Loss 8.8739 | 4187s elapsed
  Batch 200/527 | Loss 8.6905 | 4406s elapsed
  Batch 210/527 | Loss 8.5208 | 4620s elapsed
  Batch 220/527 | Loss 8.3608 | 4838s elapsed
  Batch 230/527 | Loss 8.2105 | 5053s elapsed
  Batch 240/527 | Loss 8.0700 | 5271s elapsed
  Batch 250/527 | Loss 7.9406 | 5490s elapsed
  Batch 260/527 | Loss 7.8174 | 5707s elapsed
  Batch 270/527 | Loss 7.6990 | 5925s elapsed
  Batch 280/527 | Loss 7.5894 | 6143s elapsed
  Batch 290/527 | Loss 7.4837 | 6362s elapsed
  Batch 300/527 | Loss 7.3855 | 6578s elapsed
  Batch 310/527 | Loss 7.2923 | 6793s elapsed
  Batch 320/527 | Loss 7.2052 | 7011s elapsed
  Batch 330/527 | Loss 7.1239 | 7231s elapsed
  Batch 340/527 | Loss 7.0457 | 7447s elapsed
  Batch 350/527 | Loss 6.9696 | 7664s elapsed
  Batch 360/527 | Loss 6.8987 | 7884s elapsed
  Batch 370/527 | Loss 6.8314 | 8102s elapsed
  Batch 380/527 | Loss 6.7670 | 8323s elapsed
  Batch 390/527 | Loss 6.7042 | 8542s elapsed
  Batch 400/527 | Loss 6.6456 | 8757s elapsed
  Batch 410/527 | Loss 6.5892 | 8974s elapsed
  Batch 420/527 | Loss 6.5341 | 9193s elapsed
  Batch 430/527 | Loss 6.4818 | 9414s elapsed
  Batch 440/527 | Loss 6.4317 | 9634s elapsed
  Batch 450/527 | Loss 6.3836 | 9859s elapsed
